id,x,y,park_id,name,address,zip,acres,opened,status,type,img,web
128,-97.89516075,30.1945801,351,Hielscher Tract Greenbelt,"6801 La Crosse Ave., Austin, Texas 78739",78739,66.52715294,2006,Open_Restricted,Greenbelt,no.jpg,https://www.austinparks.org/parks/
129,-97.83867076,30.18776763,268,Silk Oak Neighborhood Park,"3204 Silk Oak Dr., Austin, Texas 78748",78748,17.68232301,2010,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
130,-97.70067082,30.36713914,249,Quail Creek Neighborhood Park,"1101 Mearns Meadow Dr., Austin, Texas 78758",78758,16.35704403,1992,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
131,-97.7924313,30.40871513,279,St. Edwards Greenbelt,"7301 Spicewood Springs Rd., Austin, Texas 78750",78750,79.27710263,1986,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
132,-97.73738773,30.35335413,199,Lucy Read School Park,"7509 Silvercrest Dr., Austin, Texas 78757",78757,5.1176263,1975,Open,School,no.jpg,https://www.austinparks.org/parks/
133,-97.79160593,30.22781927,183,Joslin Neighborhood Park,"2106 Cimaron Trl., Austin, Texas 78745",78745,5.35720767,1953,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
134,-97.71058708,30.34419108,287,T.A. Brown School Park,"520 Northway Dr., Austin, Texas 78752",78752,2.29626505,1953,Open,School,no.jpg,https://www.austinparks.org/parks/
135,-97.72335832,30.2596861,237,Oswaldo A.B. Cantu/Pan-American Recreation Center,"307 Chicon St., Austin, Texas 78702",78702,5.22503385,1954,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
136,-97.70535134,30.36003945,187,Kennemer Pool,"1031 Payton Gin Rd., Austin, Texas 78758",78758,1.0459874,1974,Open,Special,no.jpg,https://www.austinparks.org/parks/
137,-97.87313853,30.22276918,191,Legend Oaks Neighborhood Park,"7724 Escarpment Blvd., Austin, Texas 78749",78749,7.28224239,1990,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
138,-97.70126352,30.23223099,209,Montopolis Neighborhood Park,"1200 Montopolis Dr., Austin, Texas 78741",78741,7.59698167,1974,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
139,-97.6857196,30.34812186,195,North Acres Neighborhood Park,"1112 Hermitage Dr., Austin, Texas 78753",78753,2.50464828,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
140,-97.74764071,30.26385013,390,Margaret Hoffman Oak Park,"315 W Cesar Chavez St., Austin, Texas 78701",78701,0.2208668,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
141,-97.66670102,30.30345443,196,Little Walnut Creek District Park,"5100 E 51st St., Austin, Texas 78723",78723,206.6644465,,Open_Restricted,District,no.jpg,https://www.austinparks.org/parks/
142,-97.75622598,30.25964495,202,Mary Dawson Pocket Park,"650 Dawson Rd., Austin, Texas 78704",78704,0.50515789,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
143,-97.72192489,30.24993105,328,Manuel and Robert Donley Pocket Park,"2301 Haskell St., Austin, Texas 78702",78702,0.38813903,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
144,-97.73008353,30.27138374,198,Lott Pocket Park,"1180 Curve St., Austin, Texas 78702",78702,1.12485569,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
145,-97.7323142,30.29935491,352,Sparky Pocket Park,"3701 Grooms St., Austin, Texas 78705",78705,0.4550046,2008,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
146,-97.82166254,30.43961951,378,Trailhead Neighborhood Park,"10984 Boulder Ln., Austin, Texas 78726",78726,13.63828257,2010,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
147,-97.91460998,30.20827005,192,Lewis Mountain Ranch Neighborhood Park,"8206 Lewis Mountain Dr., Austin, Texas 78737",78737,6.07369985,1989,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
148,-97.74153651,30.42878027,256,Riata Neighborhood Park,"12401 Riata Trace Pkwy., Austin, Texas 78727",78727,8.00648381,2001,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
149,-97.698043,30.34820249,407,Georgian Acres Neighborhood Park,"500 E Powell Ln., Austin, Texas 78753",78753,5.09599964,2014,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
150,-97.64635836,30.29165121,206,Meadows at Trinity Crossing Neighborhood Park,"5900 Sendero Hills Pkwy., Austin, Texas 78724",78724,16.59807962,1995,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
151,-97.73462338,30.15985696,201,Marble Creek Greenbelt,"6605 E William Cannon Dr., Austin, Texas 78744",78744,28.88358193,,Open_Restricted,Greenbelt,no.jpg,https://www.austinparks.org/parks/
